,go,go_name,name,q
C0H3V2,GO:0005886;GO:0005737,plasma membrane;cytoplasm,Mannitol-specific phosphotransferase enzyme IIA component OS=Bacillus subtilis (strain 168) GN=mtlF PE=1 SV=1 ,6
C0H3V3,,,Uncharacterized protein YczO OS=Bacillus subtilis (strain 168) GN=yczO PE=4 SV=1 ,10
C0H3X4,,,Probable antitoxin YezG OS=Bacillus subtilis (strain 168) GN=yezG PE=1 SV=1 ,3
C0H410,,,Uncharacterized protein YkzW OS=Bacillus subtilis (strain 168) GN=ykzW PE=4 SV=1 ,6
C0SP85,GO:0005576,extracellular region,Protein YukE OS=Bacillus subtilis (strain 168) GN=yukE PE=1 SV=1 ,3
C0SP93,GO:0005737,cytoplasm,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Bacillus subtilis (strain 168) GN=accD PE=1 SV=1 ,9
C0SP95,GO:0005886;GO:0005623,plasma membrane;cell,Copper transport protein YcnJ OS=Bacillus subtilis (strain 168) GN=ycnJ PE=1 SV=1 ,2
C0SP98,,,Putative oligopeptide transport ATP-binding protein YkfD OS=Bacillus subtilis (strain 168) GN=ykfD PE=3 SV=1 ,12
C0SPB1,,,Uncharacterized protein YukJ OS=Bacillus subtilis (strain 168) GN=yukJ PE=4 SV=1 ,20
C0SPC3,,,Putative ADP-ribose pyrophosphatase YjhB OS=Bacillus subtilis (strain 168) GN=yjhB PE=3 SV=1 ,6
O05239,,,Probable NADH-dependent butanol dehydrogenase 1 OS=Bacillus subtilis (strain 168) GN=yugJ PE=3 SV=1 ,8
O05240,,,Probable NADH-dependent butanol dehydrogenase 2 OS=Bacillus subtilis (strain 168) GN=yugK PE=3 SV=1 ,8
O05252,GO:0005886,plasma membrane,Uncharacterized lipoprotein YufN OS=Bacillus subtilis (strain 168) GN=yufN PE=3 SV=2 ,5
O05265,,,Uncharacterized oxidoreductase YulF OS=Bacillus subtilis (strain 168) GN=yulF PE=3 SV=2 ,12
